season,city,date,team1,venue
2008,Kolkata,18/05/08,Kolkata Knight Riders,Eden Gardens
2008,Bangalore,19/05/08,Royal Challengers Bangalore,M Chinnaswamy Stadium
2008,Kolkata,20/05/08,Kolkata Knight Riders,Eden Gardens
2008,Mumbai,21/05/08,Kings XI Punjab,Wankhede Stadium
2008,Chennai,21/05/08,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
2008,Chandigarh,23/05/08,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali"
2008,Delhi,24/05/08,Mumbai Indians,Feroz Shah Kotla
2008,Chennai,24/05/08,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
2008,Bangalore,3/5/2008,Royal Challengers Bangalore,M Chinnaswamy Stadium
2008,Kolkata,25/05/08,Kings XI Punjab,Eden Gardens
2008,Jaipur,26/05/08,Mumbai Indians,Sawai Mansingh Stadium
2008,Hyderabad,27/05/08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2008,Mumbai,30/05/08,Rajasthan Royals,Wankhede Stadium
2008,Mumbai,31/05/08,Kings XI Punjab,Wankhede Stadium
2008,Mumbai,1/6/2008,Chennai Super Kings,Dr DY Patil Sports Academy
2009,Cape Town,18/04/09,Mumbai Indians,Newlands
2009,Cape Town,18/04/09,Royal Challengers Bangalore,Newlands
2009,Cape Town,19/04/09,Kings XI Punjab,Newlands
2009,Cape Town,19/04/09,Kolkata Knight Riders,Newlands
2009,Port Elizabeth,20/04/09,Chennai Super Kings,St George's Park
2009,Durban,21/04/09,Kings XI Punjab,Kingsmead
2009,Cape Town,22/04/09,Deccan Chargers,Newlands
2009,Durban,23/04/09,Delhi Daredevils,Kingsmead
2009,Cape Town,23/04/09,Rajasthan Royals,Newlands
2009,Durban,24/04/09,Royal Challengers Bangalore,Kingsmead
2009,Durban,25/04/09,Deccan Chargers,Kingsmead
2009,Port Elizabeth,26/04/09,Royal Challengers Bangalore,St George's Park
2009,Cape Town,26/04/09,Kings XI Punjab,Newlands
2009,Durban,27/04/09,Chennai Super Kings,Kingsmead
2009,Port Elizabeth,27/04/09,Mumbai Indians,St George's Park
2009,Centurion,28/04/09,Delhi Daredevils,SuperSport Park
2009,Durban,29/04/09,Kolkata Knight Riders,Kingsmead
2009,Durban,29/04/09,Kings XI Punjab,Kingsmead
2009,Centurion,30/04/09,Deccan Chargers,SuperSport Park
2009,Centurion,30/04/09,Chennai Super Kings,SuperSport Park
2009,East London,1/5/2009,Mumbai Indians,Buffalo Park
