season,city,date,team1,venue
2012,Pune,22/05/12,Kolkata Knight Riders,Subrata Roy Sahara Stadium
2012,Bangalore,23/05/12,Chennai Super Kings,M Chinnaswamy Stadium
2012,Chennai,25/05/12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2012,Chennai,27/05/12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2013,Kolkata,3/4/2013,Delhi Daredevils,Eden Gardens
2013,Bangalore,4/4/2013,Royal Challengers Bangalore,M Chinnaswamy Stadium
2013,Hyderabad,5/4/2013,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2013,Delhi,6/4/2013,Rajasthan Royals,Feroz Shah Kotla
2013,Chennai,6/4/2013,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
2013,Pune,7/4/2013,Pune Warriors,Subrata Roy Sahara Stadium
2013,Hyderabad,7/4/2013,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
2013,Jaipur,8/4/2013,Rajasthan Royals,Sawai Mansingh Stadium
2013,Mumbai,9/4/2013,Mumbai Indians,Wankhede Stadium
2013,Chandigarh,10/4/2013,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2013,Bangalore,11/4/2013,Kolkata Knight Riders,M Chinnaswamy Stadium
2013,Pune,11/4/2013,Rajasthan Royals,Subrata Roy Sahara Stadium
2013,Delhi,12/4/2013,Delhi Daredevils,Feroz Shah Kotla
2013,Mumbai,13/04/13,Mumbai Indians,Wankhede Stadium
2013,Chennai,13/04/13,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
2013,Kolkata,14/04/13,Kolkata Knight Riders,Eden Gardens
2013,Jaipur,14/04/13,Kings XI Punjab,Sawai Mansingh Stadium
2013,Chennai,15/04/13,Pune Warriors,"MA Chidambaram Stadium, Chepauk"
2013,Chandigarh,16/04/13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2013,Bangalore,16/04/13,Delhi Daredevils,M Chinnaswamy Stadium
2013,Pune,17/04/13,Sunrisers Hyderabad,Subrata Roy Sahara Stadium
2013,Jaipur,17/04/13,Rajasthan Royals,Sawai Mansingh Stadium
2013,Delhi,18/04/13,Chennai Super Kings,Feroz Shah Kotla
2013,Hyderabad,19/04/13,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
2013,Kolkata,20/04/13,Kolkata Knight Riders,Eden Gardens
2013,Bangalore,20/04/13,Rajasthan Royals,M Chinnaswamy Stadium
2013,Delhi,21/04/13,Mumbai Indians,Feroz Shah Kotla
2013,Chandigarh,21/04/13,Pune Warriors,"Punjab Cricket Association Stadium, Mohali"
2013,Chennai,22/04/13,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
2013,Bangalore,23/04/13,Royal Challengers Bangalore,M Chinnaswamy Stadium
2013,Dharamsala,16/05/13,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2013,Kolkata,24/04/13,Kolkata Knight Riders,Eden Gardens
2013,Chennai,25/04/13,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk"
2013,Kolkata,26/04/13,Kings XI Punjab,Eden Gardens
2013,Jaipur,27/04/13,Sunrisers Hyderabad,Sawai Mansingh Stadium
2013,Mumbai,27/04/13,Mumbai Indians,Wankhede Stadium
2013,Chennai,28/04/13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2013,Raipur,28/04/13,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
2013,Jaipur,29/04/13,Royal Challengers Bangalore,Sawai Mansingh Stadium
2013,Mumbai,29/04/13,Mumbai Indians,Wankhede Stadium
2013,Pune,30/04/13,Chennai Super Kings,Subrata Roy Sahara Stadium
2013,Hyderabad,1/5/2013,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
2013,Raipur,1/5/2013,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium
2013,Chennai,2/5/2013,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2013,Pune,2/5/2013,Royal Challengers Bangalore,Subrata Roy Sahara Stadium
2013,Kolkata,3/5/2013,Rajasthan Royals,Eden Gardens
2013,Hyderabad,4/5/2013,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
2013,Bangalore,14/05/13,Royal Challengers Bangalore,M Chinnaswamy Stadium
2013,Mumbai,5/5/2013,Mumbai Indians,Wankhede Stadium
2013,Jaipur,5/5/2013,Pune Warriors,Sawai Mansingh Stadium
2013,Bangalore,9/4/2013,Sunrisers Hyderabad,M Chinnaswamy Stadium
2013,Jaipur,7/5/2013,Delhi Daredevils,Sawai Mansingh Stadium
2013,Mumbai,7/5/2013,Mumbai Indians,Wankhede Stadium
2013,Hyderabad,8/5/2013,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
2013,Chandigarh,9/5/2013,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2013,Pune,9/5/2013,Kolkata Knight Riders,Subrata Roy Sahara Stadium
2013,Delhi,10/5/2013,Royal Challengers Bangalore,Feroz Shah Kotla
2013,Pune,11/5/2013,Pune Warriors,Subrata Roy Sahara Stadium
2013,Chandigarh,11/5/2013,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali"
2013,Ranchi,12/5/2013,Royal Challengers Bangalore,JSCA International Stadium Complex
2013,Jaipur,12/5/2013,Chennai Super Kings,Sawai Mansingh Stadium
2013,Delhi,23/04/13,Delhi Daredevils,Feroz Shah Kotla
2013,Mumbai,13/05/13,Sunrisers Hyderabad,Wankhede Stadium
2013,Ranchi,15/05/13,Pune Warriors,JSCA International Stadium Complex
2013,Chennai,14/05/13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2013,Mumbai,15/05/13,Mumbai Indians,Wankhede Stadium
2013,Chandigarh,6/5/2013,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
2013,Hyderabad,17/05/13,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2013,Dharamsala,18/05/13,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2013,Pune,19/05/13,Pune Warriors,Subrata Roy Sahara Stadium
2013,Bangalore,18/05/13,Royal Challengers Bangalore,M Chinnaswamy Stadium
2013,Hyderabad,19/05/13,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
2013,Delhi,21/05/13,Chennai Super Kings,Feroz Shah Kotla
2013,Delhi,22/05/13,Sunrisers Hyderabad,Feroz Shah Kotla
2013,Kolkata,24/05/13,Rajasthan Royals,Eden Gardens
2013,Kolkata,26/05/13,Mumbai Indians,Eden Gardens
2014,Abu Dhabi,16/04/14,Kolkata Knight Riders,Sheikh Zayed Stadium
2014,Sharjah,17/04/14,Delhi Daredevils,Sharjah Cricket Stadium
2014,Abu Dhabi,18/04/14,Chennai Super Kings,Sheikh Zayed Stadium
2014,Abu Dhabi,18/04/14,Sunrisers Hyderabad,Sheikh Zayed Stadium
2014,19/04/14,Mumbai Indians,Royal Challengers Bangalore,Aleem Dar
2014,19/04/14,Kolkata Knight Riders,Kolkata Knight Riders,Aleem Dar
2014,Sharjah,20/04/14,Rajasthan Royals,Sharjah Cricket Stadium
2014,Abu Dhabi,21/04/14,Chennai Super Kings,Sheikh Zayed Stadium
2014,Sharjah,22/04/14,Kings XI Punjab,Sharjah Cricket Stadium
2014,23/04/14,Chennai Super Kings,Rajasthan Royals,HDPK Dharmasena
2014,Sharjah,24/04/14,Kolkata Knight Riders,Sharjah Cricket Stadium
2014,25/04/14,Sunrisers Hyderabad,Sunrisers Hyderabad,M Erasmus
2014,25/04/14,Mumbai Indians,Mumbai Indians,BF Bowden
2014,Abu Dhabi,26/04/14,Royal Challengers Bangalore,Sheikh Zayed Stadium
2014,Abu Dhabi,26/04/14,Kings XI Punjab,Sheikh Zayed Stadium
2014,Sharjah,27/04/14,Mumbai Indians,Sharjah Cricket Stadium
2014,Sharjah,27/04/14,Sunrisers Hyderabad,Sharjah Cricket Stadium
2014,28/04/14,Royal Challengers Bangalore,Kings XI Punjab,BF Bowden
2014,Abu Dhabi,29/04/14,Rajasthan Royals,Sheikh Zayed Stadium
2014,30/04/14,Sunrisers Hyderabad,Mumbai Indians,HDPK Dharmasena
2014,Ranchi,2/5/2014,Chennai Super Kings,JSCA International Stadium Complex
2014,Mumbai,3/5/2014,Kings XI Punjab,Wankhede Stadium
2014,Delhi,3/5/2014,Delhi Daredevils,Feroz Shah Kotla
2014,Bangalore,4/5/2014,Sunrisers Hyderabad,M Chinnaswamy Stadium
2014,Ahmedabad,5/5/2014,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2014,Delhi,5/5/2014,Delhi Daredevils,Feroz Shah Kotla
2014,Mumbai,6/5/2014,Mumbai Indians,Wankhede Stadium
2014,Delhi,7/5/2014,Delhi Daredevils,Feroz Shah Kotla
2014,Cuttack,7/5/2014,Kings XI Punjab,Barabati Stadium
2014,Ahmedabad,8/5/2014,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera"
2014,Bangalore,9/5/2014,Kings XI Punjab,M Chinnaswamy Stadium
2014,Delhi,10/5/2014,Delhi Daredevils,Feroz Shah Kotla
2014,Mumbai,10/5/2014,Mumbai Indians,Wankhede Stadium
2014,Cuttack,11/5/2014,Kings XI Punjab,Barabati Stadium
2014,Bangalore,11/5/2014,Royal Challengers Bangalore,M Chinnaswamy Stadium
2014,Hyderabad,12/5/2014,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2014,Ranchi,13/05/14,Rajasthan Royals,JSCA International Stadium Complex
2014,Bangalore,13/05/14,Royal Challengers Bangalore,M Chinnaswamy Stadium
2014,Hyderabad,14/05/14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2014,Cuttack,14/05/14,Mumbai Indians,Barabati Stadium
2014,Ahmedabad,15/05/14,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2014,Ranchi,18/05/14,Chennai Super Kings,JSCA International Stadium Complex
2014,Hyderabad,18/05/14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2014,Ahmedabad,19/05/14,Mumbai Indians,"Sardar Patel Stadium, Motera"
2014,Delhi,19/05/14,Delhi Daredevils,Feroz Shah Kotla
2014,Hyderabad,20/05/14,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
2014,Kolkata,20/05/14,Chennai Super Kings,Eden Gardens
2014,Chandigarh,21/05/14,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2014,Kolkata,22/05/14,Kolkata Knight Riders,Eden Gardens
2014,Ranchi,22/05/14,Chennai Super Kings,JSCA International Stadium Complex
2014,Mumbai,23/05/14,Mumbai Indians,Wankhede Stadium
2014,Chandigarh,23/05/14,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2014,Bangalore,24/05/14,Royal Challengers Bangalore,M Chinnaswamy Stadium
2014,Kolkata,24/05/14,Sunrisers Hyderabad,Eden Gardens
2014,Chandigarh,25/05/14,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali"
2014,Mumbai,25/05/14,Rajasthan Royals,Wankhede Stadium
2014,Kolkata,27/05/14,Kolkata Knight Riders,Eden Gardens
2014,Mumbai,28/05/14,Mumbai Indians,Brabourne Stadium
2014,Mumbai,30/05/14,Kings XI Punjab,Wankhede Stadium
2014,Bangalore,1/6/2014,Kings XI Punjab,M Chinnaswamy Stadium
2015,Kolkata,8/4/2015,Mumbai Indians,Eden Gardens
2015,Chennai,9/4/2015,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Pune,10/4/2015,Rajasthan Royals,Maharashtra Cricket Association Stadium
2015,Chennai,11/4/2015,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,11/4/2015,Kolkata Knight Riders,Eden Gardens
2015,Delhi,12/4/2015,Delhi Daredevils,Feroz Shah Kotla
2015,Mumbai,12/4/2015,Kings XI Punjab,Wankhede Stadium
2015,Bangalore,13/04/15,Royal Challengers Bangalore,M Chinnaswamy Stadium
2015,Ahmedabad,14/04/15,Mumbai Indians,"Sardar Patel Stadium, Motera"
2015,Kolkata,30/04/15,Chennai Super Kings,Eden Gardens
2015,Pune,15/04/15,Kings XI Punjab,Maharashtra Cricket Association Stadium
2015,Visakhapatnam,16/04/15,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2015,Mumbai,17/04/15,Mumbai Indians,Wankhede Stadium
2015,Visakhapatnam,18/04/15,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2015,Pune,18/04/15,Kings XI Punjab,Maharashtra Cricket Association Stadium
2015,Ahmedabad,19/04/15,Chennai Super Kings,"Sardar Patel Stadium, Motera"
2015,Bangalore,19/04/15,Mumbai Indians,M Chinnaswamy Stadium
2015,Delhi,20/04/15,Delhi Daredevils,Feroz Shah Kotla
2015,Ahmedabad,21/04/15,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2015,Visakhapatnam,22/04/15,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2015,Bangalore,22/04/15,Chennai Super Kings,M Chinnaswamy Stadium
2015,Delhi,23/04/15,Delhi Daredevils,Feroz Shah Kotla
2015,Ahmedabad,24/04/15,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2015,Mumbai,25/04/15,Mumbai Indians,Wankhede Stadium
2015,Chennai,25/04/15,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Delhi,26/04/15,Delhi Daredevils,Feroz Shah Kotla
2015,Chandigarh,27/04/15,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali"
2015,Kolkata,7/5/2015,Kolkata Knight Riders,Eden Gardens
2015,Bangalore,29/04/15,Royal Challengers Bangalore,JD Cloete
2015,Chennai,28/04/15,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Delhi,1/5/2015,Kings XI Punjab,Feroz Shah Kotla
2015,Mumbai,1/5/2015,Mumbai Indians,Wankhede Stadium
2015,Bangalore,2/5/2015,Kolkata Knight Riders,M Chinnaswamy Stadium
2015,Hyderabad,2/5/2015,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2015,Chandigarh,3/5/2015,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
2015,Mumbai,3/5/2015,Rajasthan Royals,Brabourne Stadium
2015,Chennai,4/5/2015,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,4/5/2015,Kolkata Knight Riders,Eden Gardens
2015,Mumbai,5/5/2015,Delhi Daredevils,Wankhede Stadium
2015,Bangalore,6/5/2015,Royal Challengers Bangalore,M Chinnaswamy Stadium
2015,Mumbai,7/5/2015,Sunrisers Hyderabad,Brabourne Stadium
2015,Chennai,8/5/2015,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Kolkata,9/5/2015,Kings XI Punjab,Eden Gardens
2015,Raipur,9/5/2015,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium
2015,Mumbai,10/5/2015,Royal Challengers Bangalore,Wankhede Stadium
2015,Chennai,10/5/2015,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2015,Hyderabad,11/5/2015,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2015,Raipur,12/5/2015,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium
2015,Chandigarh,13/05/15,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2015,Mumbai,14/05/15,Mumbai Indians,Wankhede Stadium
2015,Hyderabad,15/05/15,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2015,Chandigarh,16/05/15,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2015,Mumbai,16/05/15,Rajasthan Royals,Brabourne Stadium
2015,Bangalore,17/05/15,Delhi Daredevils,HDPK Dharmasena
2015,Hyderabad,17/05/15,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2015,Mumbai,19/05/15,Mumbai Indians,Wankhede Stadium
2015,Pune,20/05/15,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium
2015,Ranchi,22/05/15,Royal Challengers Bangalore,JSCA International Stadium Complex
2015,Kolkata,24/05/15,Mumbai Indians,Eden Gardens
2016,Mumbai,9/4/2016,Mumbai Indians,Wankhede Stadium
2016,Kolkata,10/4/2016,Delhi Daredevils,Eden Gardens
2016,Chandigarh,11/4/2016,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Bangalore,12/4/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium
2016,Kolkata,13/04/16,Kolkata Knight Riders,Eden Gardens
2016,Rajkot,14/04/16,Rising Pune Supergiants,Saurashtra Cricket Association Stadium
2016,Delhi,15/04/16,Kings XI Punjab,Feroz Shah Kotla
2016,Hyderabad,16/04/16,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2016,Mumbai,16/04/16,Mumbai Indians,Wankhede Stadium
2016,Chandigarh,17/04/16,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Bangalore,17/04/16,Royal Challengers Bangalore,M Chinnaswamy Stadium
2016,Hyderabad,18/04/16,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
2016,Chandigarh,19/04/16,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Mumbai,20/04/16,Royal Challengers Bangalore,Wankhede Stadium
2016,Rajkot,21/04/16,Gujarat Lions,Saurashtra Cricket Association Stadium
2016,Pune,22/04/16,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium
2016,Delhi,23/04/16,Delhi Daredevils,Feroz Shah Kotla
2016,Hyderabad,23/04/16,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
2016,Rajkot,24/04/16,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium
2016,Pune,24/04/16,Rising Pune Supergiants,Maharashtra Cricket Association Stadium
2016,Chandigarh,25/04/16,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Hyderabad,26/04/16,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2016,Delhi,27/04/16,Gujarat Lions,Feroz Shah Kotla
2016,Mumbai,28/04/16,Kolkata Knight Riders,Wankhede Stadium
2016,Pune,29/04/16,Rising Pune Supergiants,Maharashtra Cricket Association Stadium
2016,Delhi,30/04/16,Delhi Daredevils,Feroz Shah Kotla
2016,Hyderabad,30/04/16,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2016,Rajkot,1/5/2016,Kings XI Punjab,Saurashtra Cricket Association Stadium
2016,Pune,1/5/2016,Rising Pune Supergiants,Maharashtra Cricket Association Stadium
2016,Bangalore,2/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium
2016,Rajkot,3/5/2016,Gujarat Lions,Saurashtra Cricket Association Stadium
2016,Kolkata,4/5/2016,Kolkata Knight Riders,Eden Gardens
2016,Delhi,5/5/2016,Delhi Daredevils,Feroz Shah Kotla
2016,Hyderabad,6/5/2016,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal"
2016,Bangalore,7/5/2016,Rising Pune Supergiants,M Chinnaswamy Stadium
2016,Chandigarh,7/5/2016,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Visakhapatnam,8/5/2016,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016,Kolkata,8/5/2016,Kolkata Knight Riders,Eden Gardens
2016,Chandigarh,9/5/2016,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Visakhapatnam,10/5/2016,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016,Bangalore,11/5/2016,Royal Challengers Bangalore,M Chinnaswamy Stadium
2016,Hyderabad,12/5/2016,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
2016,Visakhapatnam,13/05/16,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016,Bangalore,14/05/16,Royal Challengers Bangalore,M Chinnaswamy Stadium
2016,Kolkata,14/05/16,Rising Pune Supergiants,Eden Gardens
2016,Chandigarh,15/05/16,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2016,Visakhapatnam,15/05/16,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016,Kolkata,16/05/16,Kolkata Knight Riders,Eden Gardens
2016,Visakhapatnam,17/05/16,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016,Bangalore,18/05/16,Royal Challengers Bangalore,M Chinnaswamy Stadium
2016,Kanpur,19/05/16,Kolkata Knight Riders,Green Park
2016,Raipur,20/05/16,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium
2016,Visakhapatnam,21/05/16,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016,Kanpur,21/05/16,Mumbai Indians,Green Park
2016,Kolkata,22/05/16,Kolkata Knight Riders,Eden Gardens
2016,Raipur,22/05/16,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
2016,Bangalore,24/05/16,Gujarat Lions,M Chinnaswamy Stadium
2016,Delhi,25/05/16,Sunrisers Hyderabad,Feroz Shah Kotla
2016,Delhi,27/05/16,Gujarat Lions,Feroz Shah Kotla
2016,Bangalore,29/05/16,Sunrisers Hyderabad,M Chinnaswamy Stadium
